Name,Link,VerbFarsi,Hit_VerbFarsi,VerbEnglish,Hit_VerbEnglish,VerbFarsi2,Hit_VerbFarsi2,VerbEnglish2,Hit_VerbEnglish2,OutLinks
پیوندها,https://www.asriran.com/fa/links,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-asriran.com.csv
عصر ایران,http://www.asriran.com,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-sriran.com.csv
جستجو,https://www.asriran.com/fa/search?query=,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-asriran.com.csv
عصر ایران,http://www.asriran.com/#asriran2,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-sriran.com.csv
سواد زندگی,http://www.savadezendegi.com/,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-avadezendegi.com.csv
موبنا | اخبار فناوری، معماری، گجت های فناورانه و خودرو,http://www.mobna.com/,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-obna.com.csv
موبنا | اخبار فناوری، معماری، گجت های فناورانه و خودرو,https://www.mobna.com,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-mobna.com.csv
موبنا | اخبار فناوری، معماری، گجت های فناورانه و خودرو,https://www.mobna.com/#organization,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-mobna.com.csv
موبنا | اخبار فناوری، معماری، گجت های فناورانه و خودرو,https://www.mobna.com/#logo,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-mobna.com.csv
صفحه پیدا نشد | موبنا,https://www.mobna.com/wp-content/uploads/2022/05/logo.png,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-mobna.com.csv
موبنا | اخبار فناوری، معماری، گجت های فناورانه و خودرو,https://www.mobna.com/#website,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-mobna.com.csv
شما برای جستجو کردید | موبنا,https://www.mobna.com/?s=,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-mobna.com.csv
Sign in - Google Accounts,https://plus.google.com/share?url=https://www.mobna.com/511189/%d8%af%db%8c%d9%88%d8%a7%d8%b1%d9%87%d8%a7%db%8c-%d8%a7%d9%85%d9%86-%d8%a8%d9%84%d9%88%d8%a8%d8%a7%d9%86%da%a9.html,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-.google.com.csv
Sign in - Google Accounts,https://plus.google.com/share?url%3Dhttps://www.mobna.com/511189/%25D8%25AF%25DB%258C%25D9%2588%25D8%25A7%25D8%25B1%25D9%2587%25D8%25A7%25DB%258C-%25D8%25A7%25D9%2585%25D9%2586-%25D8%25A8%25D9%2584%25D9%2588%25D8%25A8%25D8%25A7%25D9%2586%25DA%25A9.html&amp;dsh=S1611239789:1673347857193624&amp;flowEntry=ServiceLogin&amp;followup=https://plus.google.com/share?url%3Dhttps://www.mobna.com/511189/%25D8%25AF%25DB%258C%25D9%2588%25D8%25A7%25D8%25B1%25D9%2587%25D8%25A7%25DB%258C-%25D8%25A7%25D9%2585%25D9%2586-%25D8%25A8%25D9%2584%25D9%2588%25D8%25A8%25D8%25A7%25D9%2586%25DA%25A9.html&amp;ifkv=AeAAQh4Y5B3RRfqhZEtFT1xcLXkgPNKmCwZg2Cx5gpG8kremv89hvKerLrex3CoIQTIJSVfKGFGo&amp;nojavascript=1&amp;osid=1,محمدرضا شجریان,0,mohammad reza shajarian,0,محمدرضا لطفی,0,mohammad reza lotfi,0,Result-.google.com.csv
