Name,Link,Verb,Hits,OutLinks
پیوندها,https://www.asriran.com/fa/links,ایران,43,Result-asriran.com.csv
عصر ایران,https://www.asriran.com,ایران,174,Result-asriran.com.csv
عصر ایران,http://www.asriran.com,ایران,174,Result-sriran.com.csv
عصر ایران,http://www.asriran.com/#asriran2,ایران,174,Result-sriran.com.csv
سواد زندگی,http://www.savadezendegi.com/,ایران,3,Result-avadezendegi.com.csv
تازه نیوز &raquo; تازه از ایران و جهان,https://www.tazenews.com/,ایران,34,Result-tazenews.com.csv
سایت خبری جیب نیوز | سایت خبری تحلیلی اقتصادی و کاربردی که به ارائه اخبار و تحلیل های روز می‌پردازد,http://www.jeebnews.com/,ایران,23,Result-eebnews.com.csv
پایگاه خبری تحلیلی انتخاب | Entekhab.ir,http://www.entekhab.ir/,ایران,280,
آخرین نیوز | آخرین اخبار روز ایران و جهان,http://www.akharinnews.com,ایران,73,Result-kharinnews.com.csv
جهان نيوز,http://www.jahannews.com,ایران,114,Result-ahannews.com.csv
جامعه خبری تحلیلی الف,http://www.alef.ir/,ایران,85,Result-lef.ir.csv
Fararu | فرارو | اخبار روز ایران و جهان,http://www.fararu.com,ایران,130,Result-araru.com.csv
Roozno | پایگاه خبری تحلیلی روزنو | روزنو,http://www.roozno.com/,ایران,54,Result-oozno.com.csv
,http://www.irna.ir/,ایران,0,Result-rna.ir.csv
ana.press,http://www.ana.ir/,ایران,62,Result-na.ir.csv
Fars News Agency | خبرگزاری فارس,http://www.farsnews.ir/,ایران,62,Result-arsnews.ir.csv
اخبار سیاسی ایران و جهان - اصلاحات نیوز,http://www.eslahatnews.com/,ایران,93,Result-slahatnews.com.csv
خبرگزاری دانشجو | SNN.IR,http://www.snn.ir/,ایران,25,Result-nn.ir.csv
Database Error,http://www.ipna.ir/,ایران,0,
نفت ما | آژانس رویدادهای مهم نفت و انرژی,http://www.naftema.com/,ایران,48,Result-aftema.com.csv
کتاب نیوز | اطلاع رسانی و نقد کتاب - صفحه اصلی,http://www.ketabnews.com/,ایران,16,
شانا | صفحه اصلی | shana,http://www.shana.ir/,ایران,40,Result-hana.ir.csv
 watan.ir &#8211; رسانه خبری تحلیلی  وطن رسانه همه فارسی زبانان,http://www.watan.ir,ایران,29,Result-atan.ir.csv
گانز مانیتور|خانه | گانز مانیتور|مجله تصویری سلاح,http://www.gunsmonitor.com/,ایران,1,Result-unsmonitor.com.csv
Ù¾Ø§ÛÚ¯Ø§Ù Ø§Ø·ÙØ§Ø¹ Ø±Ø³Ø§ÙÛ Ø±Ø¬Ø§,http://www.rajanews.com/,ایران,0,Result-ajanews.com.csv
Parsine.com | پایگاه خبری- تحلیلی پارسینه,http://www.parsine.com/,ایران,293,Result-arsine.com.csv
خبرگزاری صدای افغان(آوا) | اخبار افغانستان و جهان | Afghan voice agency,http://www.avapress.com/,ایران,33,Result-vapress.com.csv
اقتصاد آنلاین، منشور خبری تحلیلی اقتصاد ایران | اخبار اقتصادی,https://www.eghtesadonline.com,ایران,38,Result-eghtesadonline.com.csv
پايگاه خبری تحلیلی رویداد۲۴ | رویداد24,http://www.rouydad24.ir,ایران,224,Result-ouydad24.ir.csv
خبرگزاری کتاب ايران (IBNA),http://www.ibna.ir/,ایران,37,Result-bna.ir.csv
,http://www.mojnews.com/,ایران,0,Result-ojnews.com.csv
eghtesadeiranonline.com&nbsp;-&nbsp;هذا الموقع الالكتروني للبيع!&nbsp;-&nbsp;eghtesadeiranonline المصادر والمعلومات.,http://www.eghtesadeiranonline.com/,ایران,0,Result-ghtesadeiranonline.com.csv
صراط نیوز | Seratnews.com  آخرین اخبار ایران و جهان,http://www.seratnews.ir/,ایران,61,Result-eratnews.ir.csv
اخبار ایران و جهان | خبرگزاری تسنیم | Tasnim ,http://www.tasnimnews.com/,ایران,44,Result-asnimnews.com.csv
شیعه نیوز | اخبار شیعیان جهان | Shia News Agency,http://www.shia-news.com/,ایران,43,Result-hia-news.com.csv
تاریخ ایرانی,http://www.tarikhirani.ir/,ایران,21,Result-arikhirani.ir.csv
سایت خبری تحلیلی اطلاع نیوز,https://www.etelanews.com,ایران,32,Result-etelanews.com.csv
ميگنا : پایگاه خبری روانشناسی و سلامت,https://www.migna.ir/,ایران,33,Result-migna.ir.csv
پایگاه خبری تحلیلی توانا | توانا نیوز,https://www.tavananews.ir/,ایران,25,Result-tavananews.ir.csv
روزنامه رسالت,http://www.resalat-news.com/,ایران,15,Result-esalat-news.com.csv
روزنامه آفرینش,http://www.afarineshdaily.ir,ایران,4,Result-farineshdaily.ir.csv
روزنامه وطن امروز | شماره :3662 | تاریخ 1401/10/4,http://www.vatanemrooz.ir,ایران,71,Result-atanemrooz.ir.csv
روزنامه دنیای اقتصاد | پرمخاطب ترین روزنامه اقتصادی کشور,http://www.donya-e-eqtesad.com/,ایران,47,Result-onya-e-eqtesad.com.csv
روزنامهء هموطن سلام,http://www.hamvatansalam.com/,ایران,18,Result-amvatansalam.com.csv
فرهیختگان | اخبار فناوری,روزنامه فرهیختگان,آموزش,رسانه علمی و خبری,راهنمای خرید و بررسی,http://www.farheekhtegan.ir,ایران,3,Result-arheekhtegan.ir.csv
روزنامه اطلاعات,http://www.ettelaat.com/,ایران,19,Result-ttelaat.com.csv
شرق,http://www.sharghdaily.ir/,ایران,80,Result-harghdaily.ir.csv
روزنامه ابتکار,http://www.ebtekarnews.com/,ایران,8,Result-btekarnews.com.csv
روزنامه خراسان | شماره :21115 | تاریخ 1401/10/4,http://www.khorasannews.com,ایران,31,Result-horasannews.com.csv
صنعت حمل و نقل آنلاین,http://www.iran-transportation.com/,ایران,103,Result-ran-transportation.com.csv
فدراسیون ژیمناستیک &#8211; فدراسیون ژیمناستیک جمهوری اسلامی ایران,http://www.gymnastic.ir/,ایران,8,Result-ymnastic.ir.csv
www.Taekwondo.ir,http://www.iritf.org.ir/,ایران,0,
وبسایت تخصصی ام اس سنتر | بیماری ام اس | مرجع تخصصی ام اس,http://www.mscenter.ir/,ایران,0,Result-scenter.ir.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
جستجو,https://www.asriran.com/fa/search?query=,ایران,32,Result-asriran.com.csv
عصر ایران,https://www.asriran.com,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com,ایران,174,Result-asriran.com.csv
جستجو,https://www.asriran.com/fa/search?query=,ایران,32,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
Ø¢Ù¾Ø§Ø±Ø§Øª - Ø³Ø±ÙÛØ³ Ø§Ø´ØªØ±Ø§Ú© ÙÛØ¯ÛÙ,https://www.aparat.com/newsjeeb,ایران,0,Result-aparat.com.csv
دونا کاشت - کلینیک کاشت مو در تهران,http://www.donakasht.com,ایران,1,Result-onakasht.com.csv
خرید و فروش بشکه پرکلرواتیلن اصل فرانسه-09124646402,http://www.agahiya.com/perchloroethylene,ایران,0,Result-gahiya.com.csv
بادکنک هلیومی,09101708278 - قیمت ارزان در تهران,http://www.heliumballoon.ir,ایران,0,Result-eliumballoon.ir.csv
خرید بهترین درب لوکس ایرانی - قیمت درب ضد سرقت,http://www.dooranti.ir,ایران,9,Result-ooranti.ir.csv
دونا کاشت - کلینیک کاشت مو در تهران,http://www.donakasht.com,ایران,1,Result-onakasht.com.csv
قیمت عمده پیچ و مهره در تهران - پیچ و مهره صنعت کاران,http://www.sanatcaran.com,ایران,0,
خرید بهترین درب لوکس ایرانی - قیمت درب ضد سرقت,http://www.dooranti.ir,ایران,9,Result-ooranti.ir.csv
Home - Identity Digital,http://www.news,ایران,0,Result-ews.csv
,https://www.arvancloud.ir/css/static,ایران,0,
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com/,ایران,174,Result-asriran.com.csv
جستجو,https://www.asriran.com/fa/search?query=,ایران,32,Result-asriran.com.csv
عصر ایران,https://www.asriran.com,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com,ایران,174,Result-asriran.com.csv
عصر ایران,https://www.asriran.com,ایران,174,Result-asriran.com.csv
جستجو,https://www.asriran.com/fa/search?query=,ایران,32,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,ایران,30,Result-asriran.com.csv
