Name,Link,VerbFarsi,Hit_VerbFarsi,VerbEnglish,Hit_VerbEnglish,VerbFarsi2,Hit_VerbFarsi2,VerbEnglish2,Hit_VerbEnglish2,OutLinks
پیوندها,https://www.asriran.com/fa/links,موسیقی,0,music,0,سنتی,0,irani,3,Result-asriran.com.csv
عصر ایران,http://www.asriran.com,موسیقی,1,music,1,سنتی,9,irani,0,Result-sriran.com.csv
عصر ایران,http://www.asriran.com/#asriran2,موسیقی,1,music,1,سنتی,9,irani,0,Result-sriran.com.csv
جستجو,https://www.asriran.com/fa/search?query=,موسیقی,0,music,0,سنتی,0,irani,0,Result-asriran.com.csv
صفحه درخواستی شما موجود نمی باشد,https://www.asriran.com/fa/ads/redirect,موسیقی,0,music,0,سنتی,0,irani,0,Result-asriran.com.csv
سواد زندگی,http://www.savadezendegi.com/,موسیقی,0,music,0,سنتی,0,irani,0,Result-avadezendegi.com.csv
موبنا | اخبار فناوری، معماری، گجت های فناورانه و خودرو,http://www.mobna.com/,موسیقی,0,music,0,سنتی,0,irani,0,Result-obna.com.csv
تازه نیوز &raquo; تازه از ایران و جهان,https://www.tazenews.com/,موسیقی,0,music,0,سنتی,0,irani,0,Result-tazenews.com.csv
سایت خبری جیب نیوز | سایت خبری تحلیلی اقتصادی و کاربردی که به ارائه اخبار و تحلیل های روز می‌پردازد,http://www.jeebnews.com/,موسیقی,0,music,2,سنتی,0,irani,0,Result-eebnews.com.csv
Ø¢Ù¾Ø§Ø±Ø§Øª - Ø³Ø±ÙÛØ³ Ø§Ø´ØªØ±Ø§Ú© ÙÛØ¯ÛÙ,https://www.aparat.com/newsjeeb,موسیقی,0,music,0,سنتی,0,irani,0,Result-aparat.com.csv
ns,https://www.googletagmanager.com/ns.html?id=GTM-WK2T3V2,موسیقی,0,music,0,سنتی,0,irani,0,
پایگاه خبری تحلیلی انتخاب | Entekhab.ir,http://www.entekhab.ir/,موسیقی,0,music,0,سنتی,0,irani,0,
جهان نيوز,http://www.jahannews.com,موسیقی,0,music,3,سنتی,0,irani,0,Result-ahannews.com.csv
استوديو خبر:: نرم افزار تحریریه الکترونیک، سيستم انتشار و گردش اخبار و اتوماسيون تحريريه (طراحی سايت خبری و راه اندازی پورتال اطلاع رسانی),http://www.news-studio.com,موسیقی,0,music,0,سنتی,0,irani,0,Result-ews-studio.com.csv
به نگار، شرکت طراحی وب و توسعه نرم افزار های جامع و کاربردی و خدمات ميزبانی وب هاستينگ,http://www.behnegarsoft.com,موسیقی,0,music,0,سنتی,0,irani,0,
پايگاه خبری افکارنيوز,http://www.afkarnews.ir,موسیقی,0,music,0,سنتی,0,irani,0,Result-fkarnews.ir.csv
پايگاه خبری افکارنيوز,https://www.afkarnews.com/,موسیقی,0,music,0,سنتی,0,irani,0,Result-afkarnews.com.csv
پایگاه خبری بهار نیوز,http://www.baharnews.ir,موسیقی,0,music,5,سنتی,1,irani,0,Result-aharnews.ir.csv
Ø¢ÙÙØ¯Ù Ø±ÙØ´Ù Ø¬ÙØ§ÙØ§Ù,http://www.bfnews.ir,موسیقی,0,music,0,سنتی,0,irani,0,
ايتنا - سایت خبری تحلیلی فناوری اطلاعات و ارتباطات,http://www.itna.ir,موسیقی,6,music,0,سنتی,0,irani,2,Result-tna.ir.csv
تین نیوز - شبکه خبری تحلیلی صنعت حمل و نقل کشور,http://www.tinn.ir,موسیقی,0,music,0,سنتی,0,irani,0,Result-inn.ir.csv
Error 400 (Bad Request)!!1,https://www.googletagmanager.com/gtm.js?id=,موسیقی,0,music,0,سنتی,0,irani,0,
ns,https://www.googletagmanager.com/ns.html?id=GTM-WVSHLDF,موسیقی,0,music,0,سنتی,0,irani,0,
اخبار بانک پايگاه خبری بانک، بورس و بیمه,http://www.akhbarbank.com,موسیقی,0,music,0,سنتی,0,irani,0,Result-khbarbank.com.csv
افتانا - پایگاه اطلاع رسانی حوزه امنیت فضای تولید و تبادل اطلاعات,http://www.aftana.ir,موسیقی,0,music,0,سنتی,0,irani,0,Result-ftana.ir.csv
اخبار هنر ، فرهنگ و سینما – هنرنیوز,http://www.honarnews.com,موسیقی,2,music,0,سنتی,0,irani,0,Result-onarnews.com.csv
Apache HTTP Server Test Page powered by CentOS,http://www.cinematajrobi.ir,موسیقی,0,music,0,سنتی,0,irani,0,
خبرگزاری تقريب | اخبار جهان اسلام بر محور وحدت امت اسلامی,http://www.taghribnews.ir,موسیقی,0,music,0,سنتی,0,irani,0,Result-aghribnews.ir.csv
خبرگزاری تقريب | اخبار جهان اسلام بر محور وحدت امت اسلامی,http://www.taghribnews.com/,موسیقی,0,music,0,سنتی,0,irani,0,Result-aghribnews.com.csv
وكالة أنباء التقريب (TNA),http://www.taghribnews.com/ar,موسیقی,0,music,0,سنتی,0,irani,0,Result-aghribnews.com.csv
Taghrib News Agency (TNA),http://www.taghribnews.com/en,موسیقی,0,music,0,سنتی,0,irani,14,Result-aghribnews.com.csv
تقريب خبررسان ايجنسی (TNA),http://www.taghribnews.com/ur,موسیقی,0,music,0,سنتی,0,irani,0,Result-aghribnews.com.csv
Agence de presse TAGHRIB (APT),http://www.taghribnews.com/fr,موسیقی,0,music,0,سنتی,0,irani,27,Result-aghribnews.com.csv
404 Not Found,http://www.taghribnews.com/vtgb0rlhs,موسیقی,0,music,0,سنتی,0,irani,0,
